ATO_ID,ra,dec
J066.9729+41.5634,66.97295,41.56347
J010.7941+52.9400,10.79411,52.94002
J271.0487-22.9748,271.04877,-22.97484
J108.6131-12.4981,108.61312,-12.4981
J108.3079-12.4619,108.30795,-12.46199
J135.3581-19.3766,135.35819,-19.37665
J108.2261-12.2255,108.22616,-12.22553
J010.5992+58.0748,10.59922,58.07489
J108.3592-12.9020,108.35928,-12.90208
J108.5962-12.8432,108.59629,-12.84323
J108.3014-12.8215,108.30142,-12.82157
J108.5498-12.5505,108.54985,-12.55051
J042.0263+55.9223,42.02637,55.9223
J042.2786+56.5713,42.27866,56.57139
J312.4218+38.8577,312.4218,38.85777
J312.8437+38.9411,312.84378,38.94111
J114.7835-13.1777,114.78353,-13.17772
J114.8437-13.0440,114.84377,-13.044
J042.1967+57.3025,42.19678,57.30253
J114.3902-13.8662,114.39027,-13.86623
J258.1059-16.5761,258.10598,-16.57615
J258.5106-16.5360,258.5106,-16.536
J114.2046-13.6805,114.20468,-13.68055
J258.8454-16.4698,258.84545,-16.46982
J258.7411-16.3391,258.74114,-16.33916
J258.7176-16.2562,258.7176,-16.2562
J312.6869+38.2432,312.6869,38.24327
J290.6719+06.8671,290.6719,6.8671
J285.5287+16.4519,285.52877,16.45194
J120.1559+34.5118,120.15597,34.51187
J282.3595-06.7483,282.35958,-6.74835
J285.9373+16.0523,285.93731,16.05235
J285.5157+16.5875,285.5157,16.58756
J293.6451+58.2621,293.6451,58.26218
J095.2790-09.0100,95.27907,-9.01007
J346.0619+58.7986,346.06193,58.79869
J297.7909+16.3493,297.79093,16.34934
J297.6084+16.3634,297.60849,16.36349
J078.9962+44.1645,78.99621,44.16452
J078.8239+44.5016,78.82392,44.5016
J115.2865+18.0255,115.28659,18.02558
J087.8642+33.0734,87.8642,33.0734
J045.8834+42.4717,45.88345,42.47176
J297.8440+16.5432,297.84402,16.54329
J321.4688+49.4820,321.4688,49.482
J267.4732-01.6487,267.47324,-1.64874
J331.7216-01.8282,331.72161,-1.8282
J331.2320-03.8965,331.232,-3.89653
J331.4139-06.4304,331.41392,-6.43046
J137.5399-31.3224,137.53997,-31.32243
J282.1486-06.6862,282.14864,-6.68625
J331.6032-07.6045,331.60327,-7.60453
J137.6498-33.0351,137.6498,-33.03511
J282.9996-06.6451,282.99962,-6.64513
J276.6090+44.3255,276.60901,44.32559
J276.6656+45.0025,276.66567,45.00259
J312.1920+54.9361,312.192,54.9361
J102.3500-13.4119,102.35004,-13.41194
J102.9499-13.3945,102.94994,-13.39455
J312.7801+54.2654,312.78019,54.26547
J276.9731+45.0214,276.97312,45.02144
J312.7010+54.4994,312.701,54.49948
J312.5901+54.6293,312.5901,54.62933
J282.1586-06.5846,282.15866,-6.58462
J276.0814+46.7826,276.08144,46.78261
J276.3241+46.9273,276.32411,46.92739
J332.5742+04.2689,332.57427,4.26897
J138.1807+18.4232,138.18079,18.42322
J312.3125+55.4126,312.31251,55.41269
J346.9428-06.9138,346.94289,-6.91382
J267.4812-09.7587,267.4812,-9.75871
J280.9974+24.2138,280.99744,24.21381
J285.1166+17.0538,285.11663,17.0538
J267.4497-10.0806,267.44973,-10.08062
J267.5585-10.8293,267.55854,-10.82937
J267.2507-10.7592,267.25076,-10.7592
J267.1152-10.7297,267.1152,-10.7298
J267.6832-10.6282,267.6832,-10.62824
J267.6398-10.5482,267.63985,-10.5482
J267.0049-10.4740,267.00493,-10.47405
J280.7146+25.7971,280.71464,25.7971
J280.5814+25.8698,280.58146,25.86985
J014.9794+54.7171,14.97943,54.71717
J312.2894+59.1679,312.2894,59.16797
J312.5939+59.3105,312.59395,59.31053
J276.9964-02.2508,276.99648,-2.25085
J276.7332-02.2192,276.73326,-2.21922
J276.8878-02.1616,276.88786,-2.1616
J259.8734-17.7370,259.87347,-17.73701
J259.6019-17.6891,259.60196,-17.68911
J095.5085-18.9298,95.50852,-18.92984
J095.8704-18.2591,95.87049,-18.25911
J046.8629+60.0461,46.86296,60.0461
J096.5724+12.2548,96.57242,12.25487
J109.7000-03.0243,109.7,-3.02434
J036.7635+54.3540,36.7635,54.35406
J311.5304+34.7499,311.53047,34.74997
J311.6591+34.7827,311.65917,34.78273
J107.7501-05.3853,107.75019,-5.3853
J341.6937+56.4176,341.69375,56.41763
J303.4108+26.6215,303.4108,26.6215
J234.1302-14.9784,234.13029,-14.97849
J101.1179+15.4258,101.11799,15.42581
J293.4728+08.2021,293.4728,8.2021
J293.0621+08.2052,293.06214,8.20529
J329.4969+59.4053,329.49697,59.40534
J076.7330+32.3289,76.7331,32.3289
J004.3730+56.6407,4.37307,56.64074
J311.5796+46.7197,311.57966,46.71975
J319.5797-13.0089,319.57972,-13.00894
J319.5285-13.8013,319.52853,-13.80136
J289.3977+47.3352,289.39779,47.33526
J281.7226-18.5661,281.72269,-18.56612
J062.1439+58.7713,62.14398,58.77132
J004.4984+57.4533,4.4984,57.45332
J094.2701+13.0969,94.27012,13.09695
J062.9046+60.0443,62.90466,60.04439
J184.8905-14.1672,184.89057,-14.16726
J342.7511+54.5046,342.75113,54.50464
J342.9228+55.5905,342.92281,55.59052
J107.4502-19.1323,107.45025,-19.13232
J107.2258-19.1212,107.2258,-19.12121
J094.0733+14.8940,94.07334,14.89407
J094.6359+14.9364,94.63598,14.93645
J094.3307+14.9674,94.33074,14.96741
J131.1144-18.2887,131.11449,-18.28873
J256.9395-01.1855,256.93953,-1.18556
J038.2902+49.8263,38.29029,49.82637
J279.8385-02.9924,279.83859,-2.99249
J279.9583-02.0828,279.9583,-2.0828
J270.0172-25.1434,270.01721,-25.14345
J299.7455+14.6420,299.74559,14.642
J299.1846+14.6458,299.18466,14.64587
J342.9436+55.0759,342.9436,55.07593
J342.3098+55.8526,342.30984,55.85265
J076.8412+35.0135,76.84126,35.01353
J076.9099+35.0276,76.90991,35.02761
J113.3971-07.1215,113.3971,-7.1215
J094.6676+14.2405,94.66769,14.24051
J293.6445+17.6048,293.64459,17.60488
J275.2461+19.6807,275.24614,19.68079
J265.5903-20.0676,265.5903,-20.0676
J265.9116-20.0649,265.9116,-20.0649
J085.1924+38.1480,85.19248,38.14808
J101.2582-03.0303,101.25822,-3.0303
J296.3209+39.5093,296.32093,39.50936
J289.6914+48.9562,289.69147,48.95628
J265.8590-20.0461,265.85904,-20.04618
J311.4588+47.7707,311.4588,47.7707
J311.8936+47.7749,311.8936,47.7749
J131.9785-23.8131,131.97852,-23.8131
J299.4286+15.4636,299.4286,15.4636
J271.1816+00.0626,271.18163,0.06266
J271.1321+00.7140,271.1321,0.714
J271.0123+00.8098,271.01237,0.80985
J284.7580-01.4754,284.75806,-1.47544
J005.8808+38.5122,5.88082,38.51226
J094.7239+17.9232,94.7239,17.9232
J094.6373+17.1268,94.63737,17.12684
J342.3905+56.0402,342.39055,56.04025
J185.4357+26.6680,185.43572,26.66804
J293.0130+18.4227,293.01306,18.42273
J076.7137+38.9036,76.71374,38.90363
J085.1002+39.7018,85.1002,39.70181
J299.4670+15.8818,299.46706,15.8818
J131.4932-25.8697,131.49325,-25.86973
J265.4186-21.1140,265.41861,-21.11405
J293.3652+19.4037,293.36528,19.40374
J101.2986-05.9468,101.29865,-5.94685
J284.9876-01.3282,284.98763,-1.32822
J284.6342-01.3090,284.63421,-1.30901
J005.0199+51.2987,5.02,51.29873
J284.7322-02.5614,284.73223,-2.56149
J303.7630+38.9793,303.76305,38.97937
J281.0151-20.7775,281.01516,-20.77755
