star_name,shifted_data,period,A0,N,sigma,A1,phi1,A2,phi2,A3,phi3,A4,phi4,A5,phi5,A6,phi6,A7,phi7,A8,phi8,A9,phi9,A10,phi10,A11,phi11,A12,phi12,A13,phi13,A14,phi14,A15,phi15,metallicity
V499 Cen,,0.52121,11.17,202,0.0145,0.4243,1.8943,0.1917,6.0656,0.1455,4.1908,0.0997,2.4059,0.0679,0.6998,0.0498,5.2603,0.0312,3.4902,0.0188,1.3753,0.0124,5.983,0.015,4.1069,0.0069,2.7368,0.0053,1.3423,0.0071,5.6637,0.0014,5.2859,0.0034,2.5805,-1.29
RR Cet,,0.55302877,9.747,742,0.0116,0.3193,1.6025,0.1558,5.5675,0.1112,3.6169,0.0708,1.6885,0.0408,6.1338,0.0201,4.1837,0.0109,2.1168,0.0062,0.5691,0.0045,5.6257,0.0038,4.4387,0.003,2.7196,0.0053,0.9121,0.0056,5.1591,0.0054,3.2516,0.0052,1.31,-1.29
RX Cet,,0.573687,11.469,71,0.014,0.289,5.7467,0.1428,1.2742,0.1011,3.4548,0.0648,5.712,0.0347,1.8077,0.0158,3.8873,0.008,5.8833,0.0051,2.027,0.003,5.5064,0.0041,2.2538,0.0034,4.9283,0.0024,0.8995,0.0012,2.9899,0.0015,4.7633,0.0012,1.1894,-1.2
RZ Cet,,0.5106085,11.86,162,0.0281,0.3526,4.3388,0.1679,4.8548,0.1045,5.3734,0.052,6.2061,0.0303,0.4993,0.0192,1.0343,0.013,1.5921,0.0092,2.2013,0.0065,2.8849,0.0049,3.6922,0.0035,4.5381,0.0024,5.4166,0.0016,6.2709,0.0007,0.7872,0.0005,1.102,-1.24
S Com,*,0.5866133,11.707,106,0.0184,0.4371,3.029,0.2159,2.0491,0.1409,1.4724,0.0956,0.8453,0.0643,0.2644,0.0427,5.9563,0.0281,5.3263,0.0187,4.6452,0.013,3.9316,0.0095,3.2416,0.007,2.6296,0.0049,2.1414,0.0031,1.8481,0.0021,1.9099,0.0021,2.1056,-1.64
V413 CrA,,0.5895,10.624,165,0.0129,0.2536,2.3487,0.1149,0.9771,0.0708,6.1224,0.0356,5.1624,0.0147,4.1869,0.0049,3.6004,0.0043,3.6783,0.0055,2.8756,0.0058,1.8023,0.0055,0.6551,0.0051,5.7528,0.0045,4.4925,0.0039,3.2801,0.0034,2.0681,0.003,0.8739,-0.96
W Crt,*,0.41201385,11.626,379,0.0316,0.436,5.2593,0.2438,0.318,0.1448,2.0579,0.1044,3.6485,0.0641,5.4914,0.0412,0.6722,0.0325,2.3428,0.0216,4.0609,0.0139,5.5799,0.0112,0.8422,0.0082,2.5232,0.0064,4.0105,0.0052,5.3275,0.0018,0.7163,0.0013,4.1681,-0.45
DX Del,,0.47261818,9.954,802,0.0098,0.2563,2.1537,0.1268,0.6213,0.073,5.7045,0.0323,4.4505,0.0161,3.1502,0.0065,2.3394,0.0061,1.8884,0.0055,1.2153,0.0079,6.231,0.0072,4.7936,0.0046,3.4187,0.0053,2.191,0.0033,1.0847,0.0038,5.9815,0.0023,4.5609,-0.32
SU Dra,,0.66042002,9.829,85,0.0092,0.3364,4.2124,0.1795,4.5242,0.1104,5.2685,0.0673,5.9899,0.038,0.382,0.0228,0.7372,0.0158,1.6038,0.008,2.7468,0.0046,3.4356,0.0063,5.007,0.0022,0.3463,0.0044,0.5803,0.0051,1.0914,0.0035,1.8178,0.0053,2.5397,-1.56
SW Dra,,0.569671,10.526,159,0.0051,0.3163,0.166,0.165,2.8345,0.1062,5.7911,0.067,2.5993,0.0326,5.5939,0.0182,2.0451,0.0087,5.2725,0.0059,2.5288,0.0036,6.0669,0.0035,3.3938,0.0051,0.1399,0.0046,3.2072,0.005,6.2321,0.0042,2.8419,0.0041,5.8158,-0.95
